file,record,bytes,size_gb,md5,known_public_source,needs_deposit
Marson2025_D1_Rest_filtered.h5ad,main,1526580299,1.527,70a49f15fddf62ab767188df0df112de,,YES
Marson2025_D1_Stim48hr_filtered.h5ad,main,2254120218,2.254,fdd0c99edf47db174412ad721fe547dd,,YES
Marson2025_D1_Stim8hr_filtered.h5ad,main,1408658493,1.409,c751deade135a04cb070c67dad532496,,YES
Marson2025_D2_Rest_filtered.h5ad,main,2287711561,2.288,474833a3f246a748b8076cdcbdcf63e1,,YES
Marson2025_D2_Stim48hr_filtered.h5ad,main,3474151389,3.474,24bcb324497d813a73fe85dfc559b8f5,,YES
Marson2025_D2_Stim8hr_filtered.h5ad,main,2570210721,2.57,98dab3fe3fc0070f7862050091380c7d,,YES
Marson2025_D3_Rest_filtered.h5ad,main,2645560241,2.646,e8c066b72f12caea34d26985f49474ea,,YES
Marson2025_D3_Stim48hr_filtered.h5ad,main,3308589270,3.309,50079baba74ca7234d5218ab2dbc30f4,,YES
Marson2025_D3_Stim8hr_filtered.h5ad,main,2646406008,2.646,ed690ea5c48cba784c1cdafec8cd9224,,YES
Marson2025_D4_Rest_filtered.h5ad,main,1571599873,1.572,1eef63cdcecdfeed408f05df701823ed,,YES
Marson2025_D4_Stim48hr_filtered.h5ad,main,2560593668,2.561,8af5688ba53377e7ab2565f87d81bf03,,YES
Marson2025_D4_Stim8hr_filtered.h5ad,main,1602026416,1.602,5a8d0a68b1161ebf38b615362b597978,,YES
ReplogleWeissman2022_K562_gwps_filtered.h5ad,main,1362155463,1.362,1820bd6080c50de4eeef487ee7ee4443,,YES
XAtlas2025_HCT116_filtered.h5ad,main,2616081554,2.616,c7c45287d87db928197d308f0ac9da3e,,YES
XAtlas2025_HEK293T_filtered.h5ad,main,4158326933,4.158,559fa6d0ea6bc062649ac972ec6e3f5b,,YES
akana_etal_2026_crispra_perturbseq.h5ad,main,1358718215,1.359,21ccba8fda1f632a0cfdd0e0cceb5539,,YES
kaden25_fibroblast_ctrl_10k_min100_greedy_4gb.h5ad,main,3979671860,3.98,c6f3996124ce6760e605ebdb1600f10d,,YES
kaden25_rpe1_ctrl_10k_min100_greedy_4gb.h5ad,main,3974230588,3.974,85bf6634340c1502906699cfa268e56e,,YES
merfish_perturbed_cells_astrocytes.csv,main,8569510,0.009,5525ffd9614e03cc323fe5b19436b4d4,,YES
perturbation_design_astrocytes.csv,main,4004937,0.004,4e1ed53683fd99986f4ed6e0c25990a5,,YES
proper_filtered.h5ad,main,2225888694,2.226,7791a37cb0a129d8011fc490638918d9,,YES
schemidt_etal_2022_crispra_perturbseq.h5ad,main,364839931,0.365,63ed2ec36456d5ce429a228252ee89eb,,YES
suppl/GSE233766/Xtot_naive_resistant_melanoma_unbalanced.h5ad,suppl,4267238951,4.267,9f4fab2df77c8387414b4c4abe6c92af,,YES
suppl/Human_genetic_interactions_collapsed.csv,suppl,1688916,0.002,ee9dfde76281e01ff9c72e7483bf5292,,YES
suppl/Human_protein_protein_interactions_collapsed.csv,suppl,93159279,0.093,21718a6ea9e5fe87f97510af9ec6f537,,YES
suppl/Xtot_four_conditions_balanced.h5ad,suppl,32905224,0.033,939cb49af688b98f70179f87403493e3,,YES
suppl/Xtot_naive_resistant_unbalanced_resistant_BC50_clone_size_gt1.h5ad,suppl,3264536049,3.265,f3aee1cc0b960b3f4b3ecee3b670fca1,,YES
suppl/pancreatic_naive_vs_resistant.h5ad,suppl,529921725,0.53,6f1a562eb034147496de60c1c1da4744,,YES
suppl/stateFate_inVitro_clone_matrix.mtx.gz,suppl,197714,0.0,c64461d36700a67233090664b766f20a,,YES
suppl/stateFate_inVitro_gene_names.txt.gz,suppl,65687,0.0,dcb3c2d60f0560b52f77782dd2a0d1f9,,YES
suppl/stateFate_inVitro_metadata.txt.gz,suppl,2214511,0.002,a00fa8fb3360d08d4096215b6ec22be8,,YES
suppl/stateFate_inVitro_neutrophil_monocyte_trajectory.txt.gz,suppl,218177,0.0,300c42b448fd516780a7f8920c68d53d,,YES
suppl/stateFate_inVitro_neutrophil_pseudotime.txt.gz,suppl,312014,0.0,c17ee4cc0c615a2b30feef17f6394a08,,YES
suppl/stateFate_inVitro_normed_counts.mtx.gz,suppl,2065554808,2.066,eb3cb93097f063f3f6ba5dd2ddbd847f,,YES
FrangiehIzar2021_RNA.h5ad,,1458928348,1.459,dc438f53c476a3dd562898654d48ed15,zenodo:7041849,no
GSE264667_hepg2_raw_singlecell_01.h5ad,,1343665392,1.344,fe8c55c2cd2bfbe4a6f22a7dea5b8fd1,geo:GSE264667,no
GSE264667_jurkat_raw_singlecell_01.h5ad,,2036199106,2.036,275b17f348770e808f002465c4454f3a,geo:GSE264667,no
NormanWeissman2019_filtered.h5ad,,698680199,0.699,c870e6967d91c017d9da827bab183cd6,zenodo:7041849,no
ReplogleWeissman2022_K562_essential.h5ad,,1546729675,1.547,d8cba17576d1a8afc0f7d71b79cad0f7,zenodo:7041849,no
ReplogleWeissman2022_rpe1.h5ad,,1236886900,1.237,cc7f1ec50aeb3a3e1b4a6cfa713d80fa,zenodo:7041849,no
SrivatsanTrapnell2020_sciplex3.h5ad,,2526631614,2.527,c9e70629505d98c7ca1a837f62b14e89,zenodo:13350497,no
TianKampmann2019_day7neuron.h5ad,,268921535,0.269,74074e99e8e7c5a6297b6a684b72d754,zenodo:7041849,no
TianKampmann2019_iPSC.h5ad,,350848489,0.351,8279484264b513fd0419dacdc639ecef,zenodo:7041849,no
TianKampmann2021_CRISPRa.h5ad,,154788473,0.155,67a9b324ce46b74a8ca09370de45ded6,zenodo:7041849,no
TianKampmann2021_CRISPRi.h5ad,,289389479,0.289,70d260cf5587fc09d759b9f3e32785c6,zenodo:7041849,no
